logging_policy_name,n_rounds,target_policy_true_value,naive_estimate,naive_error,ips_estimate,ips_error
pi_5,4000,0.489165,0.5556,-0.0664,0.625,-0.1358
pi_5,5000,0.488788,0.5455,-0.0567,0.6,-0.1112
pi_5,6000,0.48834,0.5333,-0.045,0.6667,-0.1783
pi_5,7000,0.49137714285714285,0.4444,0.0469,0.5714,-0.0801
pi_5,8000,0.49330250000000003,0.5263,-0.033,0.625,-0.1317
pi_5,9000,0.4930666666666667,0.2381,0.255,0.2778,0.2153
pi_5,10000,0.493496,0.5,-0.0065,0.55,-0.0565
pi_5,11000,0.49348363636363635,0.5417,-0.0482,0.5909,-0.0974
pi_5,12000,0.493495,0.5,-0.0065,0.5833,-0.0898
pi_5,13000,0.49399846153846155,0.5667,-0.0727,0.6538,-0.1598
pi_5,14000,0.4936257142857143,0.4516,0.042,0.5,-0.0064
pi_5,15000,0.493196,0.5161,-0.0229,0.5333,-0.0401
pi_5,16000,0.49313125,0.4706,0.0225,0.5,-0.0069
pi_5,17000,0.49353764705882347,0.6,-0.1065,0.6176,-0.1241
pi_5,18000,0.49211555555555553,0.5676,-0.0755,0.5833,-0.0912
pi_5,19000,0.4920842105263158,0.4737,0.0184,0.4737,0.0184
